publishedAt,title,description,url,source_name
2025-10-25T23:40:25Z,Canada Pulling Manipulated Reagan Anti-Tariff Advert and Backing Down to Trump on Trade,"Ontario Premier Doug Ford announced he would suspend the controversial anti-tariff ad campaign that triggered President Trump to halt trade talks with Canada.
The post Canada Pulling Manipulated Reagan Anti-Tariff Advert and Backing Down to Trump on Trade app…",https://www.thegatewaypundit.com/2025/10/canada-pulling-manipulated-reagan-anti-tariff-advert-backing/,Thegatewaypundit.com
2025-10-25T23:23:18Z,ASEAN summit in Malaysia: Who’s attending and what to expect,The Cambodian-Thai border conflict and the US trade war will feature prominently at Southeast Asian bloc summit.,https://www.aljazeera.com/news/2025/10/25/asean-summit-in-malaysia-whos-attending-and-what-to-expect,Al Jazeera English
2025-10-25T23:14:00Z,Trump says increasing tariffs on Canada by 10 per cent,<![CDATA[ The fallout continues over a Canadian anti-tariff ad that featured late US leader Ronald Reagan. ]]>,https://www.channelnewsasia.com/world/us-canada-tariff-up-10-cent-trump-5425261,CNA
2025-10-25T23:10:37Z,Trump threatens Canada with 10% tariff increase for not pulling down critical ad sooner,President Donald Trump said on Saturday that he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario.,https://www.pbs.org/newshour/politics/trump-threatens-canada-with-10-tariff-increase-for-not-pulling-down-critical-ad-sooner,PBS
2025-10-25T22:50:52Z,Trump announces additional 10-per-cent tariff on Canada over Ontario ad,U.S. President Donald Trump announced an additional 10 per cent tariff on Canada on Saturday because the Ontario government didn’t immediately pull down an anti-tariff ad it was running in U.S. markets. The tariff will be “over and above what they are paying …,https://financialpost.com/pmn/trump-announces-additional-10-per-cent-tariff-on-canada-over-ontario-ad,Financial Post
2025-10-25T22:26:00Z,Trump hands Canada 10pc extra import tax for not pulling anti-tariff ad sooner,US President Donald Trump said on Saturday that he plans to hike tariffs on imports of Canadian goods by an extra 10pc because of an anti-tariff television ad aired by the province of Ontario.,https://www.independent.ie/world-news/trump-hands-canada-10pc-extra-import-tax-for-not-pulling-anti-tariff-ad-sooner/a1916110756.html,Independent.ie
2025-10-25T22:24:35Z,U of T creates emergency fund for researchers facing U.S. funding cuts,University of Toronto has created an emergency fund to support its researchers who are facing unexpected losses in funding due to cuts and policy changes at U.S. federal research agencies.,https://www.cbc.ca/news/canada/toronto/university-of-toronto-research-funding-9.6953829,CBC News
2025-10-25T22:21:37Z,"Is Ford’s ad to blame for Trump’s 10-per-cent tariff hike? Please, it’s an excuse","Ford’s message may not be the right one. Saying that protectionism and Trump’s tariff plan is bad is all well and good, but the Americans the ad is talking to no longer believe that",https://www.theglobeandmail.com/business/commentary/article-doug-ford-anti-tariff-advertisement-trump-tariffs-canada/,The Globe And Mail
2025-10-25T22:07:35Z,Trump threatens Canada with 10% extra import tax over anti-tariffs ad,"The ad, which used the words of former President Ronald Reagan to criticize U.S. tariffs, aired during a World Series game.  Trump said that Ontario's premier didn't act quickly enough to pull the ad.",https://www.npr.org/2025/10/25/g-s1-95116/trump-canada-anti-tariffs-ad-import-tax,NPR
2025-10-25T22:04:31Z,Trump slaps Canada with 10% tariff increase,"Trade tensions reach new heights President Donald Trump announced Saturday that he is raising tariffs on Canada by an additional 10% beyond current levels, intensifying an already strained trade relationship over what he characterized as a misleading advertis…",https://rollingout.com/2025/10/25/trump-increases-canada-tariff-10-percent/,Rolling Out
