hat he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario.,https://www.pbs.org/newshour/politics/trump-threatens-canada-with-10-tariff-increase-for-not-pulling-down-critical-ad-sooner,PBSpublishedAt,title,description,url,source_name
2025-10-25T23:10:37Z,Trump threatens Canada with 10% tariff increase for not pulling down critical ad sooner,President Donald Trump said on Saturday t
2025-10-25T22:50:52Z,Trump announces additional 10-per-cent tariff on Canada over Ontario ad,U.S. President Donald Trump announced an additional 10 per cent tariff on Canada on Saturday because the Ontario government didn’t immediately pull down an anti-tariff ad it was running in U.S. markets. The tariff will be “over and above what they are paying …,https://financialpost.com/pmn/trump-announces-additional-10-per-cent-tariff-on-canada-over-ontario-ad,Financial Post
2025-10-25T22:24:35Z,U of T creates emergency fund for researchers facing U.S. funding cuts,University of Toronto has created an emergency fund to support its researchers who are facing unexpected losses in funding due to cuts and policy changes at U.S. federal research agencies.,https://www.cbc.ca/news/canada/toronto/university-of-toronto-research-funding-9.6953829,CBC News
2025-10-25T22:21:37Z,"Is Ford’s ad to blame for Trump’s 10-per-cent tariff hike? Please, it’s an excuse","Ford’s message may not be the right one. Saying that protectionism and Trump’s tariff plan is bad is all well and good, but the Americans the ad is talking to no longer believe that",https://www.theglobeandmail.com/business/commentary/article-doug-ford-anti-tariff-advertisement-trump-tariffs-canada/,The Globe And Mail
2025-10-25T22:07:35Z,Trump threatens Canada with 10% extra import tax over anti-tariffs ad,"The ad, which used the words of former President Ronald Reagan to criticize U.S. tariffs, aired during a World Series game.  Trump said that Ontario's premier didn't act quickly enough to pull the ad.",https://www.npr.org/2025/10/25/g-s1-95116/trump-canada-anti-tariffs-ad-import-tax,NPR
2025-10-25T21:54:54Z,Trump hikes tariffs on Canada by another 10% in response to anti-tariff ad,The move comes even though Ontario's leader said the anti-tariff ad would be halted beginning Monday.,https://www.cbsnews.com/news/trump-hiking-tariffs-canada-10-percent-ontario-ad/,CBS News
2025-10-25T21:42:54Z,Trump says he's increasing Canada tariffs by 10% after Reagan ad,U.S. President Donald Trump announced an additional 10% in tariffs on Canada due to an Ontario ad that is critical of the levies. Read more.,https://financialpost.com/news/trump-raise-canada-tariff-10-reagan-ad,Financial Post
2025-10-25T21:42:54Z,Trump Says He’ll Raise Canada Tariff by 10% After Reagan Ad,President Donald Trump said he’s increasing US tariffs on Canada by 10% in response to an anti-tariff advertisement by the province of Ontario that is roiling one of the world’s biggest bilateral trade relationships.,https://financialpost.com/pmn/business-pmn/trump-says-hell-raise-canada-tariff-by-10-after-reagan-ad,Financial Post
2025-10-25T21:18:49Z,Trump says he’s increasing tariffs on Canada by 10% after Ontario’s Reagan ad | CNN Business,"President Donald Trump said Saturday he is increasing the tariff on Canada by 10% over current levels, further escalating trade tensions over what he called a “fake” ad that featured parts of an anti-tariff speech by former President Ronald Reagan in 1987.",https://www.cnn.com/2025/10/25/business/trump-tariffs-canada-reagan,CNN
2025-10-25T21:12:12Z,Trump raises tariffs on Canadian goods in response to Reagan advert,"He had already walked away from trade talks with Canada on Thursday after the commercial, which he called a ""fraud"", initially aired.",https://www.bbc.com/news/articles/cx2ljgrm78zo,BBC News
2025-10-25T20:50:54Z,Trump punishes Canada with 10% extra import tax for not pulling down ad sooner,"President Donald Trump says he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario. The ad used the words of former President Ronald Reagan to criticize U.S. tariffs, ange…",https://apnews.com/article/trump-canada-tariffs-3cbc1cbf9ed53a10b442fd55dae1e0a3,Associated Press
